,service_date,gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator,ObjectId
87026,2019/12/26 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,6929.0,8046.0,,87027
87027,2019/12/26 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,4580.0,5174.0,,87028
87103,2019/12/26 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,OFF_PEAK,Passenger Wait Time,41865.0,43317.0,,87104
87106,2019/12/26 05:00:00+00,Blue,,,Rapid Transit,Blue Line,Rail,PEAK,Passenger Wait Time,28343.0,28595.0,,87107
87223,2019/12/24 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,11632.0,14765.0,,87224
87227,2019/12/24 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,15469.0,18552.0,,87228
87231,2019/12/24 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,12222.0,14729.0,,87232
87235,2019/12/24 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,7014.0,8002.0,,87236
87286,2019/12/25 05:00:00+00,Orange,,,Rapid Transit,Orange Line,Rail,PEAK,Passenger Wait Time,76423.0,80464.0,,87287
87294,2019/12/25 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,21654.0,25994.0,,87295
87297,2019/12/24 05:00:00+00,Green-B,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,4340.0,5186.0,,87298
87299,2019/12/25 05:00:00+00,Green-E,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,16737.0,19370.0,,87300
87305,2019/12/25 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,14904.0,19833.0,,87306
87311,2019/12/25 05:00:00+00,Green-D,,,Rapid Transit,Green Line,Rail,PEAK,Passenger Wait Time,12051.0,14595.0,,87312
87317,2019/12/25 05:00:00+00,Green-C,,,Rapid Transit,Green Line,Rail,OFF_PEAK,Passenger Wait Time,17033.0,20768.0,,87318
